Name,County,Date,Start Date and Time,End Date and Time,Latitude,Longitude,Acres Burned,Duration,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Precipitation,Wind Speed,Wind Gust,Wind Direction,Cloud Cover,Relative Humidity,Solar Radiation,Solar Energy,PDSI,NDVI,Elevation,Slope
Holiday Fire,El Dorado,2017-12-28,2017-12-28 20:51:00+00:00,2018-01-09 13:49:00+00:00,38.869036,-119.61865,80.0,11.706944444444444,55.8,13.4,30.8,14.4,0.0,7.0,,97.58,0.0,54.52,,,3.180000305175781,2133.0,1771,8.458172798156738
Coast Fire,Santa Barbara,2017-12-14,2017-12-14 12:59:00+00:00,2018-01-09 13:49:00+00:00,34.605358,-120.414875,14.0,26.03472222222222,72.8,36.6,51.0,29.8,0.0,8.4,,123.5,5.9,52.1,,,-1.390000343322754,4052.0,75,5.982146739959717
Sargent Fire,Monterey,2019-07-09,2019-07-09 21:43:36+00:00,2019-07-10 16:04:00+00:00,35.95191,-120.8092,190.0,0.7641666666666667,86.0,54.0,67.2,51.8,0.0,19.7,25.3,217.83,26.6,64.2,452.1,27.7,2.059999465942383,2315.0,258,6.512691020965576
Gibbel Fire ,Riverside,2019-07-11,2019-07-11 16:27:17+00:00,2019-07-11 08:26:00+00:00,33.69055556,-116.953889,20.0,-0.33422453703703703,95.4,61.5,78.3,53.1,0.0,12.9,,162.54,0.4,45.05,466.2,28.5,2.5799999237060547,2410.0,514,1.854334115982056
Orange fire,Riverside,2019-07-13,2019-07-13 10:36:00+00:00,2019-07-13 15:13:00+00:00,33.8128372,-117.1228851,96.0,0.19236111111111112,97.1,64.5,80.9,58.0,0.0,13.4,20.6,224.0,1.7,50.18,507.2,29.2,2.680000305175781,2242.0,474,2.416167020797729
Lake Fire,Mariposa,2019-07-08,2019-07-08 15:30:14+00:00,,37.524378,-120.296551,244.0,,85.6,56.0,70.2,49.7,0.0,14.4,16.1,318.83,0.0,52.09,500.1,30.6,2.729999542236328,2869.0,134,0.0
Mid Fire,Alameda,2019-07-12,2019-07-12 18:40:09+00:00,2019-07-12 19:20:00+00:00,37.093243,-121.586846,22.0,0.02767361111111111,80.3,56.8,66.1,55.8,0.0,13.6,12.8,201.5,19.7,71.8,472.3,28.9,2.940000534057617,3956.0,91,2.972079277038574
Aborn Fire,Santa Clara,2019-07-15,2019-07-15 11:12:00+00:00,2019-07-15 18:19:00+00:00,37.32555556,-121.76444444,47.0,0.2965277777777778,84.5,60.9,71.3,57.0,0.0,16.8,,272.5,7.4,63.07,489.4,28.2,2.190000534057617,2963.0,170,7.870835781097412
South Fire ,Ventura,2019-07-14,2019-07-14 11:45:00+00:00,2019-07-15 14:10:00+00:00,34.366111,-118.96,131.0,1.1006944444444444,73.0,60.7,65.6,60.2,0.0,11.1,,233.63,68.8,83.44,340.7,17.2,1.8400001525878904,4200.0,109,0.9274099469184875
Border Fire,San Diego,2019-07-12,2019-07-12 13:20:39+00:00,2019-07-15 17:10:00+00:00,32.566389,-116.7525,100.0,3.1592708333333333,74.4,62.5,67.2,60.9,0.0,11.2,,290.33,45.3,81.18,458.7,28.1,2.540000915527344,3446.0,179,2.3871102333068848
Horse Fire,Shasta,2019-07-12,2019-07-12 19:08:54+00:00,,40.463936,-122.435492,30.0,,100.2,70.0,85.6,55.6,0.0,14.8,,158.25,0.0,38.5,470.0,28.8,2.049999237060547,4568.0,240,5.22479772567749
Milton Fire ,Stanislaus,2019-07-15,2019-07-15 10:49:00+00:00,2019-07-16 06:48:00+00:00,37.944751,-120.84372,202.0,0.8326388888888889,97.5,65.3,81.9,51.3,0.0,18.7,33.3,289.38,0.0,36.66,449.1,27.5,2.489999771118164,2576.0,73,3.885955810546875
