Name,County,Date,Start Date and Time,End Date and Time,Latitude,Longitude,Acres Burned,Duration,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Precipitation,Wind Speed,Wind Gust,Wind Direction,Cloud Cover,Relative Humidity,Solar Radiation,Solar Energy,PDSI,NDVI,Elevation,Slope
Cow Fire,Shasta,2019-09-24,2019-09-24 08:40:45+00:00,2019-09-24 14:52:00+00:00,40.612556,-122.039167,16.0,0.2578125,98.0,72.3,84.5,48.2,0.0,21.7,34.5,264.88,0.0,29.23,294.8,15.9,1.6599998474121094,5457.0,361,2.442085266113281
Reservoir Fire,Santa Clara,2019-09-21,2019-09-21 11:49:00+00:00,2019-09-24 18:00:00+00:00,37.467744,-121.842751,128.0,3.2576388888888888,86.2,58.2,71.1,49.1,0.0,18.1,25.3,186.5,5.5,48.97,421.2,21.2,1.229999542236328,3942.0,497,25.14748954772949
Tulloch Fire,Tuolumne,2019-09-23,2019-09-23 15:55:57+00:00,2019-09-24 10:21:00+00:00,37.838333,-120.625556,83.0,0.7673958333333334,88.0,61.9,74.3,52.4,0.0,15.1,20.8,317.04,3.4,48.89,385.2,19.4,1.6200008392333984,3003.0,171,12.832157135009766
Electra Fire,Amador,2019-09-25,2019-09-25 13:13:41+00:00,2019-09-25 17:00:00+00:00,38.332083,-120.67131,10.0,0.15716435185185185,98.3,63.7,80.0,53.5,0.0,5.8,,166.33,0.0,43.38,353.4,19.1,2.209999084472656,5320.0,243,10.3585205078125
Willow Fire,San Diego,2019-09-25,2019-09-25 14:17:25+00:00,2019-09-25 20:00:00+00:00,32.87833333,-116.88,52.0,0.2379050925925926,80.2,62.4,70.9,58.7,0.0,10.5,19.7,196.92,30.0,66.36,402.6,18.8,1.8999996185302732,3348.0,143,8.461065292358398
Meadow Fire (Not a CAL FIRE incident),Modoc,2019-08-02,2019-08-02 16:53:18+00:00,2019-08-02 21:39:00+00:00,41.43783,-120.23976,103.0,0.1984027777777778,87.4,46.5,68.7,34.5,0.0,13.3,17.2,122.5,0.0,33.81,496.5,30.4,1.8199996948242188,6415.0,2180,13.262836456298828
Sycamore Fire,Riverside,2019-09-07,2019-09-07 20:31:46+00:00,2019-09-08 18:00:00+00:00,33.9369,-117.3063,250.0,0.8946064814814815,94.1,64.5,78.6,54.0,0.0,15.0,22.8,158.75,0.0,45.59,345.1,21.1,1.520000457763672,930.0,473,1.452272891998291
Rams Horn Fire,Trinity,2019-09-07,2019-09-07 08:49:58+00:00,2019-09-12 10:08:00+00:00,41.150392,-122.634108,280.0,5.054189814814815,83.0,51.9,65.9,40.6,0.0,8.6,27.7,208.08,3.4,44.04,391.3,21.1,1.579999923706055,6273.0,1040,18.519874572753903
R-6 Fire,Lassen,2019-09-06,2019-09-06 13:20:00+00:00,2019-09-11 18:30:00+00:00,44.734,-120.606,260.0,5.215277777777778,82.4,54.2,68.0,55.0,0.01,9.3,16.1,175.0,13.1,66.78,228.5,18.9,2.889999389648437,2509.0,1178,9.028006553649902
Broder Fire,Tulare,2019-09-06,2019-09-06 12:39:18+00:00,,36.151,-118.185,381.0,,101.0,73.1,86.6,54.2,0.0,11.4,17.2,223.5,5.5,36.49,490.3,26.5,0.8500003814697266,5419.0,2478,24.874643325805664
Lone Fire,Modoc,2019-09-06,2019-09-06 11:34:27+00:00,2019-09-13 07:19:00+00:00,41.748,-121.056,5737.0,6.822604166666666,82.5,47.7,65.1,41.9,0.0,11.3,24.2,226.88,7.9,53.27,431.1,23.3,1.2000007629394531,1927.0,1413,1.550642490386963
Henthorne Fire,Trinity,2019-09-05,2019-09-05 09:25:00+00:00,2019-09-18 12:17:00+00:00,40.062304,-123.222196,244.0,13.119444444444444,93.2,57.2,72.2,50.3,0.0,6.9,,47.08,28.8,55.95,419.9,22.7,-0.7299995422363281,7577.0,1161,11.24413013458252
Snail Fire,Ventura,2019-09-01,2019-09-01 17:37:43+00:00,2019-09-05 08:14:00+00:00,34.71011,-119.3547,279.0,3.6085300925925927,80.7,65.2,72.1,54.1,0.0,9.9,23.0,219.46,23.8,53.56,481.1,24.2,1.8999996185302732,2665.0,1117,3.704791784286499
R-1 Fire,Lassen,2019-08-28,2019-08-28 19:48:14+00:00,2019-09-04 16:22:00+00:00,40.593,-120.581,3380.0,6.856782407407407,95.1,59.1,77.3,44.9,0.0,16.1,,244.38,3.0,35.49,293.6,23.3,2.34000015258789,2218.0,1582,14.349336624145508
Horse Fire,Lassen,2019-08-24,2019-08-24 16:33:58+00:00,2019-08-27 10:44:00+00:00,40.562,-120.544,131.0,2.7569675925925927,93.3,55.5,75.5,47.0,0.0,16.1,,266.47,0.0,40.55,331.3,25.0,2.510000228881836,2746.0,1614,3.772727489471436
R-1 Fire,Lassen,2019-08-07,2019-08-07 17:21:13+00:00,,40.886677,-120.336977,130.0,,92.9,55.8,74.9,38.9,0.0,16.5,25.3,206.61,9.2,30.58,296.3,25.6,4.040000915527344,1703.0,1627,3.038081645965576
Sellers Fire,Contra Costa,2019-08-07,2019-08-07 15:13:52+00:00,,37.968494,-121.678172,58.0,,85.3,60.1,69.8,53.9,0.0,17.6,32.8,246.75,0.4,60.27,288.3,16.6,2.680000305175781,2788.0,8,3.63910174369812
Five Fire,Los Angeles,2019-08-03,2019-08-03 17:01:15+00:00,2019-08-05 12:25:00+00:00,34.677864,-118.752395,156.0,1.8081597222222223,89.4,65.8,76.8,38.2,0.0,17.7,29.8,248.54,0.0,26.96,439.6,22.2,1.510000228881836,3981.0,1017,9.56906795501709
Caliente Fire,San Diego,2019-08-01,2019-08-01 14:53:15+00:00,2019-08-03 09:10:00+00:00,32.575556,-117.026667,448.0,1.7616319444444444,75.0,62.5,67.6,62.5,0.0,11.7,18.3,257.92,47.1,84.39,489.7,26.4,1.4599990844726562,2781.0,135,15.28495979309082
Mill Fire,Monterey,2019-07-30,2019-07-30 13:28:17+00:00,2019-08-12 08:20:00+00:00,36.008889,-121.466944,280.0,12.785914351851853,66.4,57.8,61.3,52.9,0.0,14.4,23.0,279.63,77.4,74.53,548.0,31.6,1.1399993896484375,5196.0,889,24.89931869506836
Range Fire,Santa Barbara,2019-07-28,2019-07-28 22:39:05+00:00,2019-08-05 12:27:00+00:00,34.665699,-119.94974,100.0,7.57494212962963,91.1,52.1,67.5,52.2,0.0,12.8,21.9,169.58,20.6,66.75,478.9,27.6,1.1800003051757812,3418.0,449,15.02177619934082
Tucker Fire,Modoc,2019-07-28,2019-07-28 15:58:00+00:00,2019-08-11 12:16:00+00:00,41.79591,-121.260305,14217.0,13.845833333333333,91.9,47.8,70.9,43.1,0.0,19.1,23.0,137.3,3.1,43.22,433.5,26.5,1.6900005340576172,3180.0,1576,3.0450613498687744
Goose 2 Fire,Modoc,2019-07-17,2019-07-17 16:13:41+00:00,2019-07-20 09:05:00+00:00,41.909,-120.306,128.0,2.702303240740741,82.0,48.3,67.1,44.6,0.0,12.9,20.8,192.75,1.8,48.94,487.0,42.1,1.8500003814697263,3830.0,1548,6.274861812591553
Doyle Fire,Lassen,2019-07-14,2019-07-14 14:02:31+00:00,2019-07-16 09:00:00+00:00,40.072739,-120.158273,193.0,1.7899189814814815,88.5,53.3,73.5,32.1,0.0,19.9,30.0,251.83,2.8,24.87,495.8,32.1,3.290000915527344,3804.0,1283,2.214751482009888
Jasper Fire,State of Nevada,2019-07-13,2019-07-13 18:42:22+00:00,2019-07-16 08:50:00+00:00,39.631945,-119.769881,1165.0,2.5886342592592593,90.5,56.1,75.1,34.5,0.0,15.6,27.3,246.21,3.0,27.15,502.6,29.0,2.1599998474121094,1672.0,1555,3.037248373031616
Warren Fire,Riverside,2019-09-30,2019-09-30 07:07:00+00:00,2019-09-30 09:05:00+00:00,33.703546,-117.033598,19.0,0.08194444444444444,74.0,48.4,59.9,47.5,0.0,13.1,19.4,123.29,8.8,68.12,380.3,20.5,1.170000076293945,3365.0,460,4.545393466949463
Chaparral Fire,El Dorado,2019-09-29,2019-09-29 21:44:45+00:00,2019-09-29 21:35:00+00:00,38.538467,-120.965105,22.0,-0.0067708333333333336,67.5,43.5,55.5,41.6,0.04,17.1,26.4,154.83,11.5,63.72,359.1,18.1,1.489999771118164,3956.0,197,3.671184062957764
Frame Fire,Fresno,2019-09-30,2019-09-30 17:39:00+00:00,,36.154184,-120.634179,25.0,,72.0,41.6,57.1,37.8,0.0,15.9,35.6,266.54,10.6,53.56,242.2,13.1,-0.0399999618530273,4015.0,602,1.148541808128357
Dehesa Fire ,San Diego,2019-09-24,2019-09-24 15:00:00+00:00,,32.787656,-116.806941,200.0,,86.0,55.5,69.8,55.4,0.0,12.4,19.7,208.46,3.0,63.87,422.7,19.8,2.040000915527344,4392.0,434,4.500175476074219
Hwy Fire,Butte,2019-09-28,2019-09-28 17:48:10+00:00,2019-09-28 18:40:00+00:00,39.622137,-121.693472,300.0,0.03599537037037037,71.7,55.3,62.0,45.7,0.0,14.4,27.7,208.83,45.6,58.9,404.2,34.9,1.9400005340576167,2438.0,64,4.805173397064209
Bar Fire,Siskiyou,2019-09-15,2019-09-15 15:52:00+00:00,,41.749667,-123.000833,91.0,,81.1,51.6,64.9,42.5,0.11,15.4,30.6,154.21,20.1,49.3,356.9,19.3,-1.130000114440918,7188.0,648,11.026988983154297
Mountain Fire,Shasta,2019-08-22,2019-08-22 11:02:09+00:00,2019-08-26 17:00:00+00:00,40.715556,-122.241944,600.0,4.248506944444444,98.1,74.9,85.4,50.7,0.0,13.7,27.0,336.71,1.8,33.3,382.5,22.0,1.520000457763672,4624.0,284,1.5350843667984009
Gaines Fire,Mariposa,2019-08-16,2019-08-16 14:11:02+00:00,,37.536069,-120.177018,1300.0,,98.1,66.9,82.1,53.9,0.0,8.7,,234.5,0.0,42.3,452.3,26.1,1.8400001525878904,2591.0,446,4.469164848327637
3-2 Willow (Previously H-1 Fire),Lassen,2019-08-07,2019-08-07 18:48:57+00:00,,40.900458,-121.320838,107.0,,,,,,0.0,,,,,,,,2.520000457763672,4921.0,1299,3.901587009429932
La Barisa Fire,San Bernardino,2019-08-03,2019-08-03 17:22:51+00:00,2019-08-04 06:39:00+00:00,34.202883,-116.4449,26.0,0.5528819444444445,101.2,73.2,90.2,38.6,0.0,15.9,27.7,249.38,17.7,17.46,517.4,27.9,3.09000015258789,2057.0,1101,1.4549767971038818
Usal Fire,Mendocino,2019-07-27,2019-07-27 23:36:00+00:00,,39.831762,-123.846013,130.0,,,,,,0.0,,,,,,,,2.270000457763672,7349.0,6,3.734883308410645
Community Fire,Siskiyou,2019-07-27,2019-07-27 10:15:00+00:00,,41.838,-122.845,35.0,,92.7,63.8,77.1,45.5,0.0,14.0,23.0,83.22,45.7,35.25,421.2,25.8,-1.5900001525878906,4504.0,662,14.896361351013184
Tree Fire,Siskiyou,2019-07-27,2019-07-27 10:15:00+00:00,,41.834366,-122.656569,83.0,,93.4,65.1,77.6,45.1,0.0,15.9,23.0,87.09,47.3,34.14,421.2,25.8,-1.7799997329711914,3012.0,790,22.061582565307617
Mare Fire,Solano,2019-09-26,2019-09-26 15:29:06+00:00,,38.07944444,-122.25611111,30.0,,78.9,63.3,70.7,58.3,0.0,20.5,26.4,205.25,2.9,65.7,410.5,19.2,2.229999542236328,4310.0,37,6.569548606872559
Del Fire,Stanislaus,2019-10-03,2019-10-03 13:36:04+00:00,2019-10-04 10:39:00+00:00,37.429506,-121.336465,18.0,0.8770370370370371,76.0,46.3,61.0,40.7,0.0,13.6,,200.38,1.3,50.84,334.5,20.5,1.969999313354492,3759.0,310,17.202905654907227
Wilson Fire,Mendocino,2019-10-04,2019-10-04 18:38:09+00:00,,39.613783,-123.458782,10.0,,72.0,47.3,57.4,37.1,0.0,10.2,21.9,223.79,0.0,49.79,255.4,17.5,1.6200008392333984,6785.0,470,19.953271865844727
Point Fire ,Santa Clara,2019-10-07,2019-10-07 09:58:51+00:00,2019-10-07 09:58:00+00:00,37.066483,-121.219163,29.0,-0.0005902777777777778,87.5,53.3,66.2,38.0,0.0,17.9,24.2,142.79,0.0,38.38,343.7,18.6,1.3500003814697266,3047.0,413,4.769857883453369
Dales Fire,Tehama,2019-10-07,2019-10-07 11:03:29+00:00,2019-10-07 11:03:00+00:00,40.314187,-122.070055,11.0,-0.0003356481481481481,88.5,50.5,68.3,36.8,0.0,7.8,,219.46,0.4,34.79,304.2,15.3,1.3500003814697266,4973.0,191,1.5292742252349854
Inghram Fire,Tehama,2019-10-09,2019-10-09 09:52:52+00:00,2019-10-08 09:52:00+00:00,39.847708,-122.160416,10.0,-1.0006018518518518,74.8,55.2,64.3,17.3,0.0,25.5,39.8,318.46,0.0,18.96,397.8,18.6,2.25,3262.0,67,3.030580282211304
Corning Fire ,Tehama,2019-10-09,2019-10-09 08:31:40+00:00,2019-10-09 12:39:00+00:00,39.847708,-122.1604,68.0,0.17175925925925925,74.8,55.2,64.3,17.3,0.0,25.5,39.8,318.46,0.0,18.96,397.8,18.6,2.25,3262.0,67,2.7802884578704834
Little Fire,Alameda,2019-10-08,2019-10-08 17:25:12+00:00,2019-10-08 17:51:00+00:00,37.606,-121.853,12.0,0.017916666666666668,87.6,53.4,67.3,41.0,0.0,13.4,,177.83,3.6,41.97,310.8,17.9,1.6900005340576172,2884.0,126,7.2344651222229
American Fire,Napa,2019-10-06,2019-10-06 16:36:50+00:00,2019-10-07 18:34:00+00:00,38.165873,-122.211671,526.0,1.0813657407407407,87.1,44.5,64.9,39.6,0.0,11.8,20.8,139.21,0.0,45.15,386.9,18.1,2.049999237060547,2992.0,86,2.533456325531006
Eagle Fire,Riverside,2019-10-10,2019-10-10 12:08:00+00:00,2019-10-10 18:11:00+00:00,33.827979,-117.499619,9.0,0.2520833333333333,80.9,54.7,67.8,26.5,0.0,18.6,36.7,125.67,33.2,40.42,314.3,19.2,1.6299991607666016,2645.0,256,1.451176643371582
Plains Fire,Shasta,2019-10-10,2019-10-10 15:49:07+00:00,2019-10-10 19:05:00+00:00,40.4988,-122.19911,42.0,0.1360300925925926,78.0,55.7,65.5,10.3,0.0,26.4,38.0,227.33,0.0,11.93,349.1,17.6,1.8600006103515625,2140.0,156,1.53193199634552
Cross Fire,"Monterey, San Luis Obispo",2019-10-09,2019-10-09 06:52:14+00:00,2019-10-11 07:30:00+00:00,35.79069,-120.73102,289.0,2.026226851851852,79.5,43.8,59.5,41.2,0.0,14.3,32.2,254.33,10.6,55.42,378.3,19.1,0.9700002670288086,2423.0,185,7.751732349395752
Bitter Fire,San Luis Obispo,2019-10-11,2019-10-11 12:30:19+00:00,2019-10-11 16:21:00+00:00,35.709176,-120.312856,30.0,0.16019675925925925,83.3,39.1,60.1,17.1,0.0,15.4,25.3,163.71,5.7,26.11,351.6,17.7,1.1499996185302734,2302.0,353,5.8649516105651855
Merrill Fire,Contra Costa,2019-10-10,2019-10-10 06:42:19+00:00,2019-10-10 12:00:00+00:00,37.828267,-122.103867,40.0,0.22061342592592592,78.7,52.6,63.8,24.5,0.0,15.7,28.2,115.92,13.5,25.87,189.3,16.4,1.739999771118164,6541.0,221,7.735383033752441
Wolf Fire,Riverside,2019-10-10,2019-10-10 18:36:46+00:00,2019-10-12 17:22:00+00:00,33.8615,-116.897333,75.0,1.9480787037037037,82.0,58.3,69.7,20.5,0.0,17.2,27.7,204.38,12.4,27.93,400.5,21.6,1.3199996948242188,3272.0,894,12.047203063964844
Reche Fire,Riverside,2019-10-10,2019-10-10 14:18:17+00:00,2019-10-13 07:30:00+00:00,33.975405,-117.207068,350.0,2.7164699074074075,80.6,48.1,65.7,25.4,0.0,19.1,37.0,180.29,27.7,46.28,394.8,18.5,1.0699996948242188,2890.0,742,3.868992567062378
Olivas Fire,Ventura,2019-10-11,2019-10-11 15:57:10+00:00,2019-10-12 18:00:00+00:00,34.23955,-119.20187,200.0,1.0853009259259259,87.3,59.5,75.0,12.8,0.0,23.3,34.7,104.46,0.8,14.09,409.7,20.6,1.479999542236328,4621.0,18,1.455352783203125
Wendy Fire,Ventura,2019-10-10,2019-10-10 21:28:58+00:00,,34.156389,-118.950833,91.0,,85.4,55.0,70.3,25.7,0.0,28.2,40.2,71.79,29.2,38.2,299.5,19.4,-0.0500001907348632,3289.0,257,4.840348243713379
Nustar Fire,Contra Costa,2019-10-15,2019-10-15 16:17:18+00:00,,38.045866,-122.245186,15.0,,73.7,43.6,56.3,44.7,0.0,8.5,,263.29,15.8,68.08,327.1,14.1,1.6000003814697266,2669.0,16,2.995473623275757
Fairmont Fire,San Diego,2019-10-15,2019-10-15 17:41:57+00:00,2019-10-16 13:50:00+00:00,32.762706,-117.097441,10.0,0.8389236111111111,77.4,57.5,66.7,57.1,0.0,12.7,18.3,174.29,13.3,72.81,221.3,11.2,2.0799999237060547,3574.0,80,4.774826049804688
Horse Fire,Lassen,2019-10-13,2019-10-13 14:45:37+00:00,2019-10-16 13:44:00+00:00,40.387772,-120.304341,55.0,2.957210648148148,68.1,32.1,48.2,22.9,0.0,12.8,,244.38,0.0,46.05,289.4,14.6,4.799999237060547,2634.0,1242,1.5303300619125366
Mud Fire ,Fresno,2019-10-18,2019-10-18 12:17:32+00:00,2019-10-19 15:00:00+00:00,36.319291,-120.460189,137.0,1.112824074074074,74.0,43.9,58.5,40.8,0.0,14.4,24.2,241.08,10.2,54.53,231.8,18.4,-0.0600004196166992,4510.0,1156,27.294513702392575
Real Fire,Santa Barbara,2019-10-17,2019-10-17 16:31:00+00:00,2019-10-21 06:00:00+00:00,34.484722,-120.190833,420.0,3.5618055555555554,73.1,50.5,59.5,48.9,0.0,17.1,28.7,211.96,24.7,71.22,254.7,18.3,0.7399997711181641,5185.0,201,8.975253105163574
Briceburg Fire,Mariposa,2019-10-06,2019-10-06 16:15:12+00:00,,37.604638,-119.96606,5563.0,,72.7,55.4,62.8,42.8,0.0,6.0,,203.65,0.0,49.5,363.6,18.3,1.170000076293945,4583.0,361,12.747928619384766
Beaumont Fire,San Bernardino,2019-10-21,2019-10-21 08:16:33+00:00,2019-10-22 13:30:00+00:00,34.033117,-117.21545,11.0,1.217673611111111,91.0,52.7,71.7,29.8,0.0,8.4,28.1,137.25,0.6,23.9,354.9,17.9,1.1399993896484375,2653.0,410,4.759616374969482
Walker Fire,Plumas,2019-09-04,2019-09-04 15:17:31+00:00,,40.061389,-120.680556,54612.0,,89.7,51.9,68.6,44.3,0.0,19.7,,158.89,1.6,45.26,282.7,15.3,1.0499992370605469,5089.0,1153,12.028453826904297
Bautista Fire,Riverside,2019-09-15,2019-09-15 20:13:05+00:00,2019-09-22 18:00:00+00:00,33.635,-116.801111,167.0,6.907581018518519,97.1,72.8,84.1,44.4,0.0,11.8,18.3,195.67,0.2,26.15,373.9,21.5,1.6499996185302734,4726.0,899,10.612756729125977
Kidder 2 Fire,Siskiyou,2019-09-07,2019-09-07 08:47:46+00:00,2019-09-26 08:00:00+00:00,41.4929742,-123.2129356,227.0,18.966828703703705,83.3,52.4,66.3,41.3,0.0,11.2,27.7,219.67,2.8,44.29,320.3,17.3,1.2000007629394531,8558.0,1236,34.91497039794922
Springs Fire,Mono,2019-09-06,2019-09-06 11:24:11+00:00,,37.826,-118.872,4840.0,,81.8,54.0,68.1,47.6,0.0,15.8,24.4,250.7,8.5,53.35,405.9,20.5,1.4400005340576172,4872.0,2660,3.0172998905181885
Lime Fire,Siskiyou,2019-09-07,2019-09-07 08:36:32+00:00,,41.862237,-122.662258,1872.0,,85.1,55.2,68.2,44.4,0.0,18.9,27.7,166.83,3.0,45.93,338.9,19.5,-0.9099998474121094,4925.0,903,13.912500381469728
Lopez Fire,San Luis Obispo,2019-09-21,2019-09-21 14:26:00+00:00,2019-09-27 18:00:00+00:00,35.214364,-120.455883,220.0,6.148611111111111,89.5,56.2,69.8,45.0,0.0,17.1,23.0,182.13,0.0,45.75,294.1,15.9,1.260000228881836,5440.0,172,4.34126091003418
Ranch Fire,San Luis Obispo,2019-10-01,2019-10-01 22:35:52+00:00,,35.189783,-120.1755,52.0,,70.8,48.9,58.7,43.3,0.0,21.7,34.3,307.46,0.0,59.02,429.5,20.1,1.5699996948242188,3305.0,493,5.730588436126709
Nelson Fire ,Butte,2019-10-24,2019-10-24 14:43:10+00:00,2019-10-24 17:15:00+00:00,39.551423,-121.800538,80.0,0.10543981481481482,84.3,58.5,71.4,26.5,0.0,13.3,24.2,298.25,4.5,19.29,362.8,31.3,1.7199993133544922,2162.0,34,2.7802884578704834
Cascade Fire (Wind Complex),Yuba,2017-10-08,2017-10-08 23:03:00+00:00,2018-02-09 09:39:00+00:00,39.32198,-121.4021,9989.0,123.44166666666666,82.9,52.9,67.6,32.9,0.0,24.4,35.7,261.17,5.0,33.44,,,1.770000457763672,4853.0,156,5.1533379554748535
Tubbs Fire (Central LNU Complex),"Napa, Sonoma",2017-10-08,2017-10-08 21:45:00+00:00,2018-02-09 09:27:00+00:00,38.60895,-122.62879,36807.0,123.4875,85.6,48.3,66.6,32.2,0.0,17.7,29.9,157.17,2.5,40.06,,,1.4500007629394531,5951.0,197,13.56627368927002
Grant Fire,Alameda,2018-05-30,2018-05-30 13:21:00+00:00,2019-01-04 10:20:00+00:00,37.75375,-121.57918,484.0,218.87430555555557,70.2,52.7,60.2,48.3,0.0,24.4,34.1,257.42,17.1,66.47,518.9,29.9,-2.260000228881836,2352.0,89,5.438868522644043
Stoll Fire,Tehama,2018-06-23,2018-06-23 12:52:00+00:00,2019-01-04 10:02:00+00:00,40.18395,-122.27574,268.0,194.88194444444446,101.9,77.0,89.7,39.3,0.0,26.3,36.8,326.17,11.4,18.11,453.0,27.7,-3.310000419616699,2602.0,125,6.117269515991211
Creek Fire,San Luis Obispo,2018-06-21,2018-06-21 16:45:00+00:00,2019-01-04 10:03:00+00:00,35.05747,-120.39295,10.0,196.72083333333333,70.2,51.6,58.6,51.3,0.0,13.8,,242.65,37.2,78.39,394.2,24.1,-2.180000305175781,4515.0,280,5.660632610321045
Horse Fire,Calaveras,2018-06-24,2018-06-24 15:28:00+00:00,2019-01-04 10:01:00+00:00,37.95766,-120.68902,80.0,193.77291666666667,95.9,66.0,80.6,51.9,0.0,14.2,18.3,282.92,0.0,39.24,506.6,29.2,-1.390000343322754,4212.0,279,4.384461879730225
Klamathon Fire,Siskiyou,2018-07-05,2018-07-05 12:31:00+00:00,2019-01-04 09:55:00+00:00,41.893332,-122.534655,38008.0,182.89166666666668,85.9,47.1,69.5,36.1,0.0,23.8,33.1,145.13,1.0,32.34,473.2,29.0,-3.5299997329711914,4550.0,638,3.732637643814087
Holiday Fire,Santa Barbara,2018-07-06,2018-07-06 20:40:00+00:00,2019-01-04 09:54:00+00:00,34.463889,-119.831389,113.0,181.55138888888888,100.4,60.3,78.6,57.1,0.0,14.8,26.4,127.67,9.7,56.5,457.8,29.7,-2.609999656677246,4029.0,88,5.002542972564697
West Fire,San Diego,2018-07-06,2018-07-06 23:39:00+00:00,2019-01-04 09:55:00+00:00,32.833674,-116.7311,504.0,181.42777777777778,104.8,64.6,85.3,53.2,0.0,14.0,27.7,169.46,4.6,39.4,303.9,17.5,-3.4200000762939453,3557.0,657,2.7802884578704834
Spring 2 Fire,Lake,2018-07-09,2018-07-09 16:46:00+00:00,2019-01-04 09:51:00+00:00,39.06715,-122.59789,80.0,178.71180555555554,94.5,51.3,73.2,39.7,0.0,12.9,19.7,164.21,0.0,36.01,478.8,29.3,-2.239999771118164,3549.0,363,3.0252556800842285
Carder Fire,Lake,2018-07-21,2018-07-21 14:40:00+00:00,2019-01-04 09:38:00+00:00,38.91152,-122.86854,50.0,166.7902777777778,87.3,59.6,71.6,52.9,0.0,12.0,19.7,140.58,14.9,54.22,483.6,27.9,-1.579999923706055,5491.0,503,3.02422308921814
Marsh Fire,Contra Costa,2018-07-25,2018-07-25 14:41:00+00:00,2019-01-04 09:34:00+00:00,37.89612,-121.85847,247.0,162.78680555555556,94.7,60.6,75.5,52.3,0.0,15.5,20.8,290.88,4.5,49.87,494.5,30.3,-1.6899995803833008,4096.0,198,9.36018180847168
Steele Fire,Napa,2018-07-28,2018-07-28 16:30:00+00:00,2019-01-04 09:30:00+00:00,38.51943,-122.18353,135.0,159.70833333333334,91.5,58.3,72.7,53.9,0.0,12.8,34.4,233.25,19.4,55.19,476.6,27.5,-3.1599998474121094,4963.0,218,17.420202255249023
Omega Fire,El Dorado,2018-08-01,2018-08-01 14:40:00+00:00,2019-01-04 09:27:00+00:00,38.82128,-121.03918,66.0,155.7826388888889,94.3,72.6,82.5,49.0,0.0,7.2,,133.29,6.9,32.75,371.3,29.4,-0.7200002670288086,5248.0,387,10.591758728027344
Wagner Fire,Mariposa,2018-08-04,2018-08-04 13:57:00+00:00,2019-01-04 09:24:00+00:00,37.69965,-120.0545,22.0,152.81041666666667,80.3,65.3,73.0,51.5,0.0,7.8,24.7,258.67,14.1,48.87,494.1,26.7,-0.6899995803833008,5942.0,703,28.94524955749512
Holy Fire,Orange,2018-08-06,2018-08-06 13:20:00+00:00,2019-01-04 09:23:00+00:00,33.69888,-117.52055,23136.0,150.83541666666667,103.8,64.2,83.5,56.0,0.0,14.6,23.0,202.79,16.3,45.35,438.3,23.7,-3.270000457763672,5954.0,915,32.16620635986328
Delta Fire,"Shasta, Trinity",2018-09-05,2018-09-05 12:51:00+00:00,2019-01-04 09:07:00+00:00,40.9425,-122.43,63311.0,120.84444444444445,95.5,53.5,74.9,41.5,0.0,9.1,20.8,74.13,0.0,35.85,455.4,24.6,-3.4099998474121094,6025.0,383,26.55457305908203
Meyers Fire,El Dorado,2018-09-20,2018-09-20 12:39:00+00:00,2019-01-04 09:03:00+00:00,38.7448,-120.65672,12.0,105.85,82.2,63.4,71.9,33.8,0.0,15.2,12.8,139.0,1.1,25.0,410.2,19.2,-1.5399999618530271,5630.0,1036,1.507758855819702
Cabrillo Fire,San Mateo,2019-10-24,2019-10-24 20:15:36+00:00,2019-10-27 12:11:00+00:00,37.166674,-122.361112,62.0,2.663472222222222,89.5,61.1,75.4,34.4,0.0,17.5,43.8,128.96,18.9,24.26,384.7,16.6,1.3999996185302734,,12,5.547544956207275
Mines Fire,Alameda,2019-10-24,2019-10-24 23:16:18+00:00,2019-10-27 13:55:00+00:00,37.62782,-121.68598,35.0,2.6102083333333335,87.0,58.4,72.2,28.5,0.0,15.4,18.3,63.33,3.8,21.17,330.8,16.7,1.25,2860.0,391,4.627367496490479
Miller Fire,San Diego,2019-10-25,2019-10-25 15:05:52+00:00,2019-10-27 18:05:00+00:00,33.259861,-117.027333,37.0,2.124398148148148,89.5,66.3,78.3,18.3,0.0,12.1,31.1,114.67,0.4,11.15,386.9,18.1,1.5400009155273438,3062.0,486,2.992680072784424
Cypress Complex,Contra Costa,2019-10-27,2019-10-27 08:50:23+00:00,2019-10-28 16:26:00+00:00,37.99136,-121.64118,200.0,1.3164004629629629,71.3,55.1,62.0,21.0,0.0,28.0,41.4,216.96,7.0,22.22,250.9,13.5,1.8600006103515625,3729.0,-1,2.528235673904419
Forest Fire,Contra Costa,2019-10-27,2019-10-27 17:36:15+00:00,2019-10-28 16:26:00+00:00,37.97911,-122.11092,50.0,0.9512152777777778,69.2,53.3,61.4,24.2,0.0,28.7,44.0,131.75,1.8,27.39,339.1,15.9,1.2199993133544922,4491.0,123,18.477828979492188
Glencove Fire ,Solano,2019-10-27,2019-10-27 11:52:15+00:00,2019-10-28 16:28:00+00:00,38.07205,-122.22463,140.0,1.1914930555555556,69.7,51.7,61.7,20.7,0.0,37.3,54.3,109.04,2.8,23.24,329.5,14.2,1.2800006866455078,,81,19.287065505981445
