Latitude,Longitude,Date,PDSI
37.949747,-120.420058,2019-08-08,1.2999992370605469
39.171091,-121.423281,2019-08-10,2.6399993896484375
33.909792,-117.004667,2019-08-12,2.260000228881836
38.703889,-120.890556,2019-08-14,1.489999771118164
39.088333,-122.309167,2019-08-14,1.8700008392333984
34.675542,-118.342239,2019-08-13,1.6399993896484375
38.652475,-120.826165,2019-08-15,2.510000228881836
37.219717,-121.761974,2019-08-15,1.9500007629394531
38.455,-121.969167,2019-08-13,3.0900001525878906
38.99174,-122.7751,2019-08-08,1.2800006866455078
40.46968,-122.54364,2019-08-12,1.5
32.57394,-116.760465,2019-08-15,2.0900001525878906
32.573437,-116.658735,2019-08-16,1.7999992370605469
40.484329,-122.159393,2019-08-15,1.739999771118164
39.005262,-123.195306,2019-08-12,1.4500007629394531
37.71734,-121.55867,2019-08-21,1.8700008392333984
42.033,-122.175,2019-08-09,-1.6000003814697266
33.4506,-116.857817,2019-08-22,2.3600006103515625
33.77777348,-117.487578,2019-08-25,2.3899993896484375
37.034183,-121.45597,2019-08-25,1.6599998474121094
33.463991,-116.914799,2019-08-27,1.9200000762939453
39.892222,-120.029722,2019-08-24,1.7900009155273438
32.557546,-116.873955,2019-08-25,2.1599998474121094
37.718636,-121.657011,2019-08-31,2.3700008392333984
35.906482,-120.992914,2019-09-01,1.6800003051757812
37.545167,-121.596667,2019-09-02,1.2099990844726562
36.40193,-119.030621,2019-08-31,2.3899993896484375
36.600167,-120.8405,2019-09-02,-1.010000228881836
36.732866,-121.39478,2019-09-04,1.3600006103515625
38.910498,-122.642572,2019-09-04,2.059999465942383
34.353667,-117.343833,2019-09-02,1.7299995422363281
37.178353,-122.07743,2019-09-03,1.2199993133544922
38.955024,-122.833831,2019-09-07,2.25
38.898915,-120.946657,2019-09-03,1.7099990844726562
38.017138,-120.945044,2019-09-05,1.9300003051757812
33.496633,-116.631106,2019-09-10,1.3999996185302734
41.512917,-122.740333,2019-09-07,-0.630000114440918
37.32585,-121.110146,2019-09-11,1.1700000762939453
33.854597,-117.270144,2019-09-12,1.8600006103515625
39.470333,-121.412333,2019-09-06,1.5300006866455078
37.492002,-120.401028,2019-09-13,1.6900005340576172
34.630919,-120.187368,2019-09-09,1.8799991607666016
33.900994,-117.170588,2019-09-21,1.3199996948242188
38.20177,-120.827386,2019-09-22,2.059999465942383
40.612556,-122.039167,2019-09-24,1.6599998474121094
37.467744,-121.842751,2019-09-21,1.2299995422363281
37.838333,-120.625556,2019-09-23,1.6200008392333984
38.332083,-120.67131,2019-09-25,2.2099990844726562
32.87833333,-116.88,2019-09-25,1.8999996185302734
41.43783,-120.23976,2019-08-02,1.8199996948242188
33.9369,-117.3063,2019-09-07,1.5200004577636719
41.150392,-122.634108,2019-09-07,1.5799999237060547
44.734,-120.606,2019-09-06,2.8899993896484375
36.151,-118.185,2019-09-06,0.8500003814697266
41.748,-121.056,2019-09-06,1.2000007629394531
40.062304,-123.222196,2019-09-05,-0.7299995422363281
34.71011,-119.3547,2019-09-01,1.8999996185302734
