Latitude,Longitude,Date,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Wind Chill,Heat Index,Precipitation,Precipitation Cover,Snow,Snow Depth,Wind Speed,Wind Gust,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Sea Level Pressure,Solar Radiation,Solar Energy,Weather Type,Info,Conditions
38.158333,-122.118889,2019-07-24,96.8,56.2,75.3,51.0,,92.8,0.0,0.0,0.0,0.0,13.7,,252.71,8.8,0.0,49.17,1013.7,457.0,28.0,"Mist, Smoke Or Haze",,Clear
38.481258,-122.143942,2019-07-22,95.7,62.9,78.5,55.7,,93.6,0.0,0.0,0.0,0.0,11.3,16.1,229.08,9.7,0.0,49.25,1012.4,485.5,29.7,,,Clear
38.622058,-121.114095,2019-08-02,92.3,60.9,76.4,52.2,,89.4,0.0,0.0,0.0,0.0,9.4,12.8,184.75,9.9,0.0,45.62,1015.5,459.1,26.4,,,Clear
38.3525,-121.123611,2019-08-02,93.3,60.1,75.8,55.7,,91.1,0.0,0.0,0.0,0.0,10.2,16.1,204.5,9.9,0.0,53.84,1015.1,479.4,27.6,,,Clear
35.60989,-118.41204,2019-07-31,101.8,67.9,82.5,39.2,,96.7,0.0,0.0,0.0,0.0,15.2,26.4,282.42,9.9,2.1,23.37,1013.3,528.5,28.5,,,Clear
33.740219,-117.333728,2019-08-05,101.2,62.0,81.0,50.5,,97.3,0.0,0.0,0.0,0.0,13.4,21.9,238.96,9.9,0.0,41.9,1012.8,502.3,25.3,,,Clear
35.287373,-118.623651,2019-08-05,93.2,65.3,79.3,46.4,,89.5,0.0,0.0,0.0,0.0,14.1,23.0,262.08,9.8,0.0,33.39,1017.0,518.6,28.0,,,Clear
40.55924,-122.25409,2019-08-04,100.8,70.1,85.6,48.9,,95.4,0.0,0.0,0.0,0.0,17.1,23.0,174.08,9.9,0.0,33.1,1011.6,479.3,27.6,Light Rain,,Clear
40.943799,-120.275298,2019-08-08,88.7,50.9,71.3,35.7,,84.8,0.0,0.0,0.0,0.0,19.3,27.7,232.83,9.9,5.2,32.36,1015.1,496.1,28.6,,,Clear
37.708743,-121.841879,2019-08-09,80.9,59.0,68.1,53.9,,80.7,0.0,0.0,0.0,0.0,17.2,,249.29,9.9,2.6,62.83,1013.8,446.8,25.7,,,Clear
37.949747,-120.420058,2019-08-08,89.0,61.0,73.5,46.4,,85.3,0.0,0.0,0.0,0.0,10.6,32.2,301.0,9.8,3.1,42.93,1014.7,423.1,24.4,,,Clear
39.171091,-121.423281,2019-08-10,86.8,62.9,73.6,57.0,,85.2,0.0,0.0,0.0,0.0,12.3,18.3,171.04,9.9,12.4,59.45,1013.2,347.3,20.0,,,Clear
33.909792,-117.004667,2019-08-12,90.0,55.0,72.3,52.4,,87.2,0.0,0.0,0.0,0.0,13.0,18.3,202.0,9.9,0.0,54.58,1014.4,458.9,26.4,,,Clear
38.703889,-120.890556,2019-08-14,94.1,71.8,82.6,45.5,,90.1,0.0,0.0,0.0,0.0,10.7,18.3,178.58,9.9,0.0,28.46,1018.1,405.3,23.3,,,Clear
39.088333,-122.309167,2019-08-14,101.1,64.5,84.0,56.1,,99.2,0.0,0.0,0.0,0.0,6.6,,204.0,9.8,0.5,42.04,1013.1,517.9,28.0,,,Clear
